Draw Date,Winning Numbers,Mega Ball,Multiplier
12/30/2008,01 22 29 44 52,39,
12/26/2008,06 19 29 33 37,31,
12/23/2008,01 08 13 27 41,45,
12/19/2008,03 13 16 39 54,32,
12/16/2008,10 14 16 29 40,06,
12/12/2008,10 16 19 27 48,25,
12/09/2008,11 12 26 31 33,27,
12/05/2008,21 27 46 52 55,14,
12/02/2008,02 17 22 32 51,35,
11/28/2008,10 30 44 46 48,44,
11/25/2008,02 11 22 51 52,46,
11/21/2008,01 22 52 53 56,45,
11/18/2008,10 15 22 52 53,12,
11/14/2008,03 18 19 30 34,03,
11/11/2008,05 27 38 42 55,41,
11/07/2008,14 24 32 43 44,21,
11/04/2008,10 21 23 41 55,09,
10/31/2008,02 07 17 29 47,40,
10/28/2008,06 39 45 46 48,36,
10/24/2008,05 33 34 47 52,18,
10/21/2008,16 19 39 42 44,38,
10/17/2008,07 15 27 28 31,35,
10/14/2008,14 35 41 42 51,23,
10/10/2008,14 15 43 46 48,21,
10/07/2008,02 25 35 38 42,34,
10/03/2008,13 28 32 41 52,16,
09/30/2008,09 30 35 39 49,36,
09/26/2008,06 13 14 31 36,36,
09/23/2008,09 32 34 43 52,04,
09/19/2008,02 09 41 48 51,37,
09/16/2008,13 24 39 51 52,44,
09/12/2008,01 12 14 25 35,38,
09/09/2008,22 23 28 49 52,02,
09/05/2008,01 06 15 27 46,39,
09/02/2008,14 23 43 44 54,39,
08/29/2008,21 25 26 50 51,22,
08/26/2008,06 16 24 34 36,30,
08/22/2008,12 13 15 41 42,37,
08/19/2008,09 18 19 26 40,38,
08/15/2008,08 23 29 30 53,07,
08/12/2008,02 07 23 38 40,40,
08/08/2008,11 17 28 32 50,33,
08/05/2008,09 21 36 38 55,13,
08/01/2008,09 13 17 18 56,02,
07/29/2008,11 13 20 30 42,03,
07/25/2008,02 16 19 35 52,17,
07/22/2008,02 16 23 29 32,46,
07/18/2008,17 29 36 53 55,26,
07/15/2008,19 24 34 45 51,40,
07/11/2008,05 14 16 39 51,34,
07/08/2008,01 20 22 29 41,35,
07/04/2008,01 03 12 19 20,28,
07/01/2008,01 22 33 43 52,36,
06/27/2008,08 14 22 39 50,44,
06/24/2008,10 22 36 50 53,39,
06/20/2008,11 17 25 36 42,13,
06/17/2008,05 14 25 47 49,36,
06/13/2008,08 09 14 38 44,36,
06/10/2008,03 05 15 43 51,11,
06/06/2008,08 09 43 44 54,27,
06/03/2008,04 19 24 32 54,05,
05/30/2008,39 40 47 53 55,32,
05/27/2008,14 24 32 45 49,17,
05/23/2008,04 08 11 22 30,04,
05/20/2008,02 14 26 32 41,32,
05/16/2008,06 11 39 46 47,26,
05/13/2008,20 24 27 31 47,15,
05/09/2008,16 31 43 46 56,22,
05/06/2008,04 21 46 53 54,26,
05/02/2008,08 28 37 53 55,26,
04/29/2008,19 24 35 44 51,26,
04/25/2008,19 32 37 45 52,41,
04/22/2008,03 22 31 48 54,09,
04/18/2008,24 28 36 50 53,29,
04/15/2008,12 13 27 48 50,30,
04/11/2008,14 18 27 31 42,07,
04/08/2008,08 09 31 37 44,38,
04/04/2008,03 05 40 45 49,17,
04/01/2008,04 17 26 46 56,25,
03/28/2008,07 26 27 40 43,10,
03/25/2008,38 42 43 48 53,12,
03/21/2008,05 08 17 19 41,21,
03/18/2008,13 15 20 25 44,37,
03/14/2008,03 12 18 25 52,21,
03/11/2008,04 13 35 41 47,44,
03/07/2008,19 32 33 41 48,12,
03/04/2008,07 15 30 33 56,22,
02/29/2008,05 17 22 26 55,38,
02/26/2008,09 12 30 36 55,15,
02/22/2008,07 12 13 19 22,10,
02/19/2008,01 38 42 55 56,34,
02/15/2008,07 11 26 30 53,14,
