Draw Date,Winning Numbers,Mega Ball,Multiplier
05/17/2024,08 17 40 60 70,03,02
05/14/2024,13 19 43 62 64,06,03
05/10/2024,13 22 26 32 65,18,04
05/07/2024,26 28 36 63 66,15,03
05/03/2024,06 13 15 53 56,11,02
04/30/2024,10 18 27 37 61,05,03
04/26/2024,15 23 53 57 61,09,03
04/23/2024,11 17 33 39 43,14,04
04/19/2024,19 30 34 46 58,03,03
04/16/2024,21 26 36 44 59,02,04
04/12/2024,01 12 14 18 66,16,02
04/09/2024,34 43 51 52 69,25,04
04/05/2024,20 30 54 63 65,14,03
04/02/2024,10 50 56 60 66,19,03
03/29/2024,11 30 33 38 60,16,04
03/26/2024,07 11 22 29 38,04,02
03/22/2024,03 08 31 35 44,16,03
03/19/2024,24 46 49 62 66,07,02
03/15/2024,13 25 50 51 66,06,05
03/12/2024,02 16 31 57 64,24,03
03/08/2024,19 20 22 47 58,01,03
03/05/2024,02 49 50 61 70,14,02
03/01/2024,15 33 37 55 61,24,04
02/27/2024,06 18 26 27 49,04,03
02/23/2024,04 06 40 41 60,11,05
02/20/2024,05 45 55 58 68,07,02
02/16/2024,19 23 39 42 67,18,04
02/13/2024,01 03 19 25 58,20,03
02/09/2024,17 22 29 46 69,01,03
02/06/2024,02 10 31 44 57,10,04
02/02/2024,11 22 42 64 69,18,03
01/30/2024,03 05 16 58 59,11,04
01/26/2024,14 31 34 50 61,13,03
01/23/2024,21 28 58 69 70,20,02
01/19/2024,01 09 16 17 30,17,02
01/16/2024,02 10 42 49 54,13,02
01/12/2024,19 34 35 45 67,07,03
01/09/2024,12 15 32 33 53,24,03
01/05/2024,05 23 26 38 44,25,03
01/02/2024,03 18 27 29 64,01,02
12/29/2023,11 27 30 62 70,10,03
12/26/2023,08 10 22 58 64,21,03
12/22/2023,10 26 36 54 69,04,04
12/19/2023,17 26 50 58 61,11,03
12/15/2023,10 20 28 40 54,12,02
12/12/2023,08 23 44 45 53,03,04
12/08/2023,21 26 53 66 70,13,03
12/05/2023,18 35 40 64 67,18,04
12/01/2023,12 47 49 52 65,12,04
11/28/2023,27 37 42 59 61,11,03
11/24/2023,06 15 45 59 68,01,04
11/21/2023,17 22 25 30 38,24,04
11/17/2023,06 12 31 33 69,17,03
11/14/2023,29 35 59 61 69,22,04
11/10/2023,13 33 59 68 70,08,03
11/07/2023,03 11 33 42 52,20,02
11/03/2023,15 32 38 47 65,12,04
10/31/2023,14 35 37 55 70,15,03
10/27/2023,11 32 43 57 70,06,04
10/24/2023,16 20 30 54 59,07,03
10/20/2023,07 29 36 49 61,22,04
10/17/2023,05 06 29 32 61,20,04
10/13/2023,06 18 44 46 68,18,03
10/10/2023,03 08 17 46 63,07,04
10/06/2023,12 24 46 57 66,22,03
10/03/2023,03 19 32 39 59,24,03
09/29/2023,18 40 47 55 64,11,04
09/26/2023,15 30 35 42 60,16,04
09/22/2023,10 13 14 57 66,03,02
09/19/2023,06 09 13 29 66,24,02
09/15/2023,05 13 29 50 53,25,03
09/12/2023,02 14 21 42 67,18,05
09/08/2023,03 12 17 51 62,01,03
09/05/2023,03 43 50 51 65,13,02
09/01/2023,10 31 42 43 55,08,02
08/29/2023,09 39 52 61 63,25,03
08/25/2023,12 23 26 31 38,02,02
08/22/2023,01 12 26 36 50,07,02
08/18/2023,10 20 29 44 66,11,03
08/15/2023,18 39 42 57 63,07,03
08/11/2023,08 09 18 35 41,18,03
08/08/2023,13 19 20 32 33,14,02
08/04/2023,11 30 45 52 56,20,02
08/01/2023,08 24 30 45 61,12,04
07/28/2023,05 10 28 52 63,18,05
07/25/2023,03 05 06 44 61,25,04
07/21/2023,29 40 47 50 57,25,02
07/18/2023,19 22 31 37 54,18,04
07/14/2023,10 24 48 51 66,15,02
07/11/2023,10 17 33 51 64,05,02
07/07/2023,08 10 17 55 66,03,03
07/04/2023,21 33 54 61 67,12,03
