Draw Date,Winning Numbers,Mega Ball,Multiplier
12/30/2022,01 03 06 44 51,07,03
12/27/2022,09 13 36 59 61,11,02
12/23/2022,15 21 32 38 62,08,04
12/20/2022,03 04 33 36 52,17,04
12/16/2022,08 35 40 53 56,11,03
12/13/2022,14 22 48 58 68,06,02
12/09/2022,08 19 53 61 69,19,04
12/06/2022,15 16 19 28 47,13,03
12/02/2022,01 21 36 46 52,16,03
11/29/2022,20 23 37 46 52,06,04
11/25/2022,29 31 46 54 67,18,02
11/22/2022,13 23 24 25 43,02,03
11/18/2022,02 14 16 38 66,09,04
11/15/2022,06 19 28 46 61,18,02
11/11/2022,01 05 17 37 70,22,03
11/08/2022,05 13 29 38 59,23,04
11/04/2022,02 20 47 55 59,19,02
11/01/2022,05 09 15 16 17,25,03
10/28/2022,04 18 31 53 69,07,02
10/25/2022,21 30 35 45 66,21,03
10/21/2022,34 36 43 45 68,22,02
10/18/2022,01 15 20 44 67,23,03
10/14/2022,09 22 26 41 44,19,02
10/11/2022,03 07 11 13 38,01,03
10/07/2022,06 11 29 36 55,21,02
10/04/2022,15 18 25 33 38,25,02
09/30/2022,16 26 37 40 51,06,04
09/27/2022,08 14 24 43 51,09,03
09/23/2022,05 50 53 58 64,22,04
09/20/2022,09 21 28 30 52,10,05
09/16/2022,15 30 35 38 66,12,04
09/13/2022,14 25 38 59 64,21,04
09/09/2022,16 21 54 55 69,22,02
09/06/2022,06 17 46 59 68,02,04
09/02/2022,39 40 52 60 67,20,02
08/30/2022,02 38 55 57 65,17,03
08/26/2022,06 27 30 38 64,23,02
08/23/2022,03 05 47 48 67,07,02
08/19/2022,12 18 24 46 65,03,04
08/16/2022,33 35 41 45 51,01,02
08/12/2022,23 24 50 54 64,03,03
08/09/2022,01 08 10 25 32,13,03
08/05/2022,02 05 29 64 69,18,03
08/02/2022,10 14 25 37 63,14,03
07/29/2022,13 36 45 57 67,14,02
07/26/2022,07 29 60 63 66,15,03
07/22/2022,14 40 60 64 66,16,03
07/19/2022,02 31 32 37 70,25,03
07/15/2022,08 20 26 53 64,15,05
07/12/2022,04 07 10 45 64,12,02
07/08/2022,20 36 61 62 69,20,03
07/05/2022,27 31 50 51 61,21,04
07/01/2022,01 27 29 38 62,12,03
06/28/2022,07 12 21 43 55,11,02
06/24/2022,01 07 11 25 56,14,02
06/21/2022,08 13 18 32 42,20,03
06/17/2022,20 36 53 56 69,16,02
06/14/2022,30 37 38 42 58,22,02
06/10/2022,03 12 14 18 32,04,05
06/07/2022,04 34 40 41 53,03,04
06/03/2022,11 16 22 48 59,11,04
05/31/2022,06 15 41 63 64,24,04
05/27/2022,03 14 40 53 54,08,03
05/24/2022,03 05 06 63 68,25,03
05/20/2022,33 40 59 60 69,22,03
05/17/2022,07 21 24 41 65,24,04
05/13/2022,11 41 43 44 65,13,03
05/10/2022,15 19 20 61 70,06,03
05/06/2022,16 21 33 52 70,10,02
05/03/2022,15 19 27 35 57,17,02
04/29/2022,09 11 34 49 66,15,02
04/26/2022,05 07 19 46 69,02,04
04/22/2022,07 28 29 58 59,10,03
04/19/2022,02 09 33 47 53,24,03
04/15/2022,04 17 20 46 64,23,04
04/12/2022,02 08 14 20 31,17,02
04/08/2022,08 11 29 32 40,02,03
04/05/2022,22 43 60 63 64,18,02
04/01/2022,26 42 47 48 63,21,05
03/29/2022,07 22 36 45 47,12,02
03/25/2022,03 13 42 51 58,17,02
03/22/2022,08 15 21 27 61,08,03
03/18/2022,02 06 25 40 45,05,04
03/15/2022,09 14 28 59 60,24,05
03/11/2022,24 28 39 44 66,25,03
03/08/2022,07 18 38 58 64,24,03
03/04/2022,11 19 28 46 47,05,04
03/01/2022,18 22 38 39 50,18,02
02/25/2022,15 31 40 56 66,04,03
02/22/2022,06 17 22 57 62,03,03
02/18/2022,06 11 50 63 68,17,04
02/15/2022,02 04 15 21 63,19,03
02/11/2022,11 16 23 24 30,24,03
02/08/2022,01 17 20 52 54,02,03
02/04/2022,07 16 34 44 61,24,04
02/01/2022,11 24 38 62 66,01,04
01/28/2022,03 16 25 44 55,13,03
01/25/2022,03 12 38 53 58,13,03
01/21/2022,38 45 46 55 67,18,02
01/18/2022,04 19 39 42 52,09,04
01/14/2022,05 08 13 22 48,25,02
01/11/2022,02 03 19 52 58,16,02
01/07/2022,07 29 43 56 57,06,03
01/04/2022,04 06 16 21 22,01,03
12/31/2021,02 05 30 46 61,08,03
12/28/2021,03 05 08 31 38,04,03
12/24/2021,16 17 25 36 37,16,02
12/21/2021,25 31 58 64 67,24,03
12/17/2021,21 32 38 48 62,10,03
12/14/2021,33 35 44 55 69,20,03
12/10/2021,23 25 40 42 60,08,02
12/07/2021,01 07 40 43 68,01,02
12/03/2021,22 45 48 58 61,13,05
11/30/2021,07 08 26 30 39,17,02
11/26/2021,07 27 37 42 59,02,02
11/23/2021,07 24 54 57 58,06,03
11/19/2021,05 23 52 53 59,18,05
11/16/2021,06 22 44 53 65,03,03
11/12/2021,30 32 42 46 48,15,02
11/09/2021,09 14 16 26 49,14,03
11/05/2021,10 15 20 66 68,18,02
11/02/2021,05 10 26 58 65,09,02
10/29/2021,15 26 28 35 45,04,03
10/26/2021,06 14 19 56 62,09,04
10/22/2021,09 14 26 29 66,22,03
10/19/2021,03 12 13 19 52,01,03
10/15/2021,03 20 31 34 65,18,03
10/12/2021,21 26 56 61 65,04,03
10/08/2021,21 24 36 40 70,22,05
10/05/2021,07 11 18 30 36,04,03
10/01/2021,21 25 36 62 63,06,02
09/28/2021,18 30 43 68 69,22,04
09/24/2021,17 21 27 43 56,15,03
09/21/2021,36 41 45 51 56,13,03
09/17/2021,17 32 40 59 61,18,03
09/14/2021,04 13 19 63 64,16,02
09/10/2021,20 32 35 47 64,18,02
09/07/2021,15 17 25 32 53,12,03
09/03/2021,07 10 12 61 65,03,02
08/31/2021,08 14 31 58 68,15,03
08/27/2021,01 10 44 47 56,23,03
08/24/2021,17 18 26 52 67,19,02
08/20/2021,41 43 51 57 70,01,02
08/17/2021,03 06 16 38 56,24,03
08/13/2021,17 21 35 40 53,11,02
08/10/2021,29 45 50 59 62,12,02
08/06/2021,09 18 40 46 69,09,02
08/03/2021,01 09 17 27 34,24,02
07/30/2021,19 26 31 52 68,10,03
07/27/2021,02 35 36 54 64,11,03
07/23/2021,13 17 19 40 69,17,03
07/20/2021,10 26 30 52 57,10,02
07/16/2021,24 25 47 52 57,24,04
07/13/2021,03 10 17 26 55,24,02
07/09/2021,06 37 39 41 46,17,02
07/06/2021,18 47 63 68 69,14,03
07/02/2021,08 31 32 34 45,19,02
06/29/2021,07 38 50 52 69,21,03
06/25/2021,17 20 42 45 65,12,04
06/22/2021,01 26 48 51 59,25,04
06/18/2021,14 36 44 46 53,18,02
06/15/2021,18 22 27 38 52,11,04
06/11/2021,04 43 56 63 68,13,04
06/08/2021,09 22 39 41 54,19,03
06/04/2021,04 30 34 41 64,08,03
06/01/2021,07 11 33 58 63,23,02
05/28/2021,10 14 20 47 70,15,02
05/25/2021,14 21 31 34 54,11,03
05/21/2021,06 09 17 18 48,08,03
05/18/2021,03 05 56 61 66,04,02
05/14/2021,03 18 41 44 68,03,02
05/11/2021,07 08 20 36 39,22,03
05/07/2021,05 10 19 21 50,10,04
05/04/2021,04 27 32 57 63,22,03
04/30/2021,08 19 26 48 49,05,03
04/27/2021,15 22 30 41 42,25,04
04/23/2021,04 28 29 30 60,25,03
04/20/2021,06 23 43 49 52,05,03
04/16/2021,17 27 28 50 55,25,04
04/13/2021,10 15 19 45 68,09,04
04/09/2021,22 26 27 58 66,12,02
04/06/2021,01 19 20 32 42,17,03
04/02/2021,10 42 48 53 62,19,02
03/30/2021,11 37 47 53 56,15,03
03/26/2021,04 25 37 46 67,15,03
03/23/2021,12 23 35 38 55,11,02
03/19/2021,09 14 40 58 69,08,03
03/16/2021,10 41 46 52 69,08,02
03/12/2021,02 24 25 31 65,18,04
03/09/2021,04 33 46 58 65,13,02
03/05/2021,10 11 17 27 54,20,02
03/02/2021,04 08 13 34 64,18,02
02/26/2021,11 15 37 62 64,05,02
02/23/2021,05 07 09 20 57,15,03
02/19/2021,27 32 47 50 53,04,04
02/16/2021,01 36 44 54 66,10,03
02/12/2021,05 14 24 25 27,14,03
02/09/2021,07 18 21 31 40,09,04
02/05/2021,14 17 28 29 44,02,04
02/02/2021,13 37 38 40 67,10,02
01/29/2021,04 44 58 59 70,03,03
01/26/2021,29 49 56 66 67,24,03
01/22/2021,04 26 42 50 60,24,02
01/19/2021,10 19 26 28 50,16,02
01/15/2021,03 11 12 38 43,15,04
01/12/2021,12 14 26 28 33,09,02
01/08/2021,03 06 16 18 58,11,02
01/05/2021,20 43 51 55 57,04,02
01/01/2021,08 24 53 68 69,07,05
12/29/2020,01 31 35 48 62,19,03
12/25/2020,17 23 36 69 70,19,02
12/22/2020,29 53 56 59 67,21,02
12/18/2020,07 15 25 51 60,05,03
12/15/2020,01 10 18 20 46,15,02
12/11/2020,19 31 37 55 67,25,04
12/08/2020,15 19 33 39 68,25,03
12/04/2020,03 19 24 44 50,08,03
12/01/2020,07 33 53 61 65,14,02
11/27/2020,04 10 27 35 58,10,02
11/24/2020,09 15 34 61 64,06,02
11/20/2020,26 33 45 61 68,17,03
11/17/2020,08 13 35 46 68,16,03
11/13/2020,06 07 14 28 59,07,02
11/10/2020,23 45 53 58 62,13,05
11/06/2020,18 24 27 34 60,02,02
